class_code	division_code	section_code
111	1	1
112	1	1
113	1	1
114	1	1
115	1	1
116	1	1
117	1	1
118	1	1
119	1	1
121	1	1
122	1	1
123	1	1
124	1	1
125	1	1
129	1	1
130	1	1
140	1	1
150	1	1
201	2	1
202	2	1
501	5	1
502	5	1
1010	10	2
1020	10	2
1030	10	2
1110	11	2
1120	11	2
1200	12	2
1310	13	2
1320	13	2
1331	13	2
1339	13	2
1411	14	2
1412	14	2
1413	14	2
1414	14	2
1415	14	2
1421	14	2
1422	14	2
1431	14	2
1432	14	2
1490	14	2
1511	15	3
1512	15	3
1521	15	3
1522	15	3
1530	15	3
1541	15	3
1542	15	3
1543	15	3
1551	15	3
1552	15	3
1561	15	3
1562	15	3
1563	15	3
1564	15	3
1571	15	3
1572	15	3
1581	15	3
1589	15	3
1591	15	3
1592	15	3
1593	15	3
1594	15	3
1600	16	3
1710	17	3
1720	17	3
1730	17	3
1741	17	3
1742	17	3
1743	17	3
1749	17	3
1750	17	3
1810	18	3
1820	18	3
1910	19	3
1921	19	3
1922	19	3
1923	19	3
1924	19	3
1925	19	3
1926	19	3
1929	19	3
1931	19	3
1932	19	3
1939	19	3
2010	20	3
2020	20	3
2030	20	3
2040	20	3
2090	20	3
2101	21	3
2102	21	3
2109	21	3
2211	22	3
2212	22	3
2213	22	3
2219	22	3
2220	22	3
2231	22	3
2232	22	3
2233	22	3
2234	22	3
2239	22	3
2240	22	3
2310	23	3
2321	23	3
2322	23	3
2330	23	3
2411	24	3
2412	24	3
2413	24	3
2414	24	3
2421	24	3
2422	24	3
2423	24	3
2424	24	3
2429	24	3
2430	24	3
2511	25	3
2512	25	3
2513	25	3
2519	25	3
2521	25	3
2529	25	3
2610	26	3
2691	26	3
2692	26	3
2693	26	3
2694	26	3
2695	26	3
2696	26	3
2699	26	3
2710	27	3
2721	27	3
2729	27	3
2731	27	3
2732	27	3
2811	28	3
2812	28	3
2813	28	3
2891	28	3
2892	28	3
2893	28	3
2899	28	3
2911	29	3
2912	29	3
2913	29	3
2914	29	3
2915	29	3
2919	29	3
2921	29	3
2922	29	3
2923	29	3
2924	29	3
2925	29	3
2926	29	3
2927	29	3
2929	29	3
2930	29	3
3000	30	3
3110	31	3
3120	31	3
3130	31	3
3140	31	3
3150	31	3
3190	31	3
3210	32	3
3220	32	3
3230	32	3
3311	33	3
3312	33	3
3313	33	3
3320	33	3
3330	33	3
3410	34	3
3420	34	3
3430	34	3
3511	35	3
3512	35	3
3520	35	3
3530	35	3
3591	35	3
3592	35	3
3599	35	3
3611	36	3
3612	36	3
3613	36	3
3614	36	3
3619	36	3
3691	36	3
3692	36	3
3693	36	3
3694	36	3
3699	36	3
3710	37	3
3720	37	3
4010	40	4
4020	40	4
4030	40	4
4100	41	4
4511	45	5
4512	45	5
4521	45	5
4522	45	5
4530	45	5
4541	45	5
4542	45	5
4543	45	5
4549	45	5
4551	45	5
4552	45	5
4559	45	5
4560	45	5
5011	50	6
5012	50	6
5020	50	6
5030	50	6
5040	50	6
5051	50	6
5052	50	6
5111	51	6
5112	51	6
5113	51	6
5119	51	6
5121	51	6
5122	51	6
5123	51	6
5124	51	6
5125	51	6
5126	51	6
5127	51	6
5131	51	6
5132	51	6
5133	51	6
5134	51	6
5135	51	6
5136	51	6
5137	51	6
5139	51	6
5141	51	6
5142	51	6
5151	51	6
5152	51	6
5153	51	6
5154	51	6
5155	51	6
5159	51	6
5161	51	6
5162	51	6
5163	51	6
5169	51	6
5170	51	6
5190	51	6
5211	52	6
5219	52	6
5221	52	6
5222	52	6
5223	52	6
5224	52	6
5225	52	6
5229	52	6
5231	52	6
5232	52	6
5233	52	6
5234	52	6
5235	52	6
5236	52	6
5237	52	6
5239	52	6
5241	52	6
5242	52	6
5243	52	6
5244	52	6
5245	52	6
5246	52	6
5249	52	6
5251	52	6
5252	52	6
5261	52	6
5262	52	6
5269	52	6
5271	52	6
5272	52	6
5511	55	6
5512	55	6
5513	55	6
5519	55	6
5521	55	6
5522	55	6
5523	55	6
5524	55	6
5529	55	6
5530	55	6
6010	60	7
6021	60	7
6022	60	7
6023	60	7
6031	60	7
6032	60	7
6039	60	7
6041	60	7
6042	60	7
6043	60	7
6044	60	7
6050	60	7
6111	61	7
6112	61	7
6120	61	7
6211	62	7
6212	62	7
6213	62	7
6214	62	7
6220	62	7
6310	63	7
6320	63	7
6331	63	7
6332	63	7
6333	63	7
6339	63	7
6340	63	7
6390	63	7
6411	64	7
6412	64	7
6421	64	7
6422	64	7
6423	64	7
6424	64	7
6425	64	7
6426	64	7
6511	65	8
6512	65	8
6513	65	8
6514	65	8
6515	65	8
6516	65	8
6519	65	8
6591	65	8
6592	65	8
6593	65	8
6594	65	8
6595	65	8
6596	65	8
6599	65	8
6601	66	8
6602	66	8
6603	66	8
6604	66	8
6711	67	8
6712	67	8
6713	67	8
6714	67	8
6715	67	8
6719	67	8
6721	67	8
6722	67	8
7010	70	8
7020	70	8
7111	71	8
7112	71	8
7113	71	8
7121	71	8
7122	71	8
7123	71	8
7129	71	8
7130	71	8
7210	72	8
7220	72	8
7230	72	8
7240	72	8
7250	72	8
7290	72	8
7310	73	8
7320	73	8
7411	74	8
7412	74	8
7413	74	8
7414	74	8
7421	74	8
7422	74	8
7430	74	8
7491	74	8
7492	74	8
7493	74	8
7494	74	8
7495	74	8
7499	74	8
7511	75	9
7512	75	9
7513	75	9
7514	75	9
7515	75	9
7521	75	9
7522	75	9
7523	75	9
7524	75	9
7530	75	9
8011	80	9
8012	80	9
8021	80	9
8022	80	9
8030	80	9
8041	80	9
8042	80	9
8043	80	9
8044	80	9
8045	80	9
8046	80	9
8050	80	9
8060	80	9
8511	85	9
8512	85	9
8513	85	9
8514	85	9
8515	85	9
8519	85	9
8520	85	9
8531	85	9
8532	85	9
9000	90	9
9111	91	9
9112	91	9
9120	91	9
9191	91	9
9192	91	9
9199	91	9
9211	92	9
9212	92	9
9213	92	9
9214	92	9
9219	92	9
9220	92	9
9231	92	9
9232	92	9
9233	92	9
9241	92	9
9242	92	9
9249	92	9
9301	93	9
9302	93	9
9303	93	9
9309	93	9
9500	95	9
9900	99	9